state,district,latitude,longitude
Bihar,Madhepura,25.901704445544556,86.46394500346535
Bihar,Madhubani,26.807195781367927,85.35513107004716
Bihar,Munger,26.701675984745762,84.69739750508474
Bihar,Muzaffarpur,26.29114427068558,84.74733021843971
Bihar,Nalanda,25.971713193818182,84.11666957963637
Bihar,Nawada,25.058218826406925,86.03416979956711
Bihar,Pashchim Champaran,27.831397675272726,84.43155780363637
Bihar,Patna,25.686034257971013,84.86549545238094
Bihar,Purbi Champaran,26.564409278494118,84.61038636894118
Bihar,Purnia,26.525576441361256,86.4236023947644
Bihar,Rohtas,25.119626069765886,84.03472122795986
Bihar,Saharsa,26.601689876646706,86.23397617844311
Bihar,Samastipur,25.80523962348285,87.82774165488125
Bihar,Saran,25.986632723650384,84.52120868380463
Bihar,Sheikhpura,25.757250798979594,85.08427926122448
Bihar,Sheohar,26.555087478947367,85.27993432368422
Bihar,Sitamarhi,26.603153298666665,85.027210615
Bihar,Siwan,29.53910745592705,83.66349173586626
Bihar,Supaul,26.54233854075829,85.86868681469194
Bihar,Vaishali,26.01238617702703,84.94814623175675
Chandigarh,Chandigarh,30.627202199245282,77.05978472981131
Chhattisgarh,Balod,20.87252586257143,81.42800077614285
Chhattisgarh,Baloda Bazar,21.41955707017544,81.55251580935673
Chhattisgarh,Balrampur,23.57528070820144,83.37788279669066
Chhattisgarh,Bastar,20.359456979166666,80.46800187083333
Chhattisgarh,Bemetara,21.66462545625,81.525584678375
Chhattisgarh,Bijapur,19.080599175438596,80.90929828070175
Chhattisgarh,Bilaspur,22.14406151027211,82.12619072496598
Chhattisgarh,Dantewada,23.29940642253521,76.97067276760563
Chhattisgarh,Dhamtari,21.193160981666665,81.46073780325759
Chhattisgarh,Durg,21.282941868,81.33342896914286
Chhattisgarh,Gariyaband,21.380802340145983,81.53324906496351
Chhattisgarh,Gaurella Pendra Marwahi,22.83413984914193,81.98637530265306
Chhattisgarh,Janjgir-Champa,21.92080092128514,82.75324257381526
Chhattisgarh,Jashpur,22.753672019473687,83.85812806842105
Chhattisgarh,Kabirdham,22.037693249387754,81.28937797387755
Chhattisgarh,Kanker,23.546137238297874,77.05676593457446
Chhattisgarh,Kondagaon,20.020425914772726,81.65734596477272
Chhattisgarh,Korba,22.404281591860464,82.61644592457364
Chhattisgarh,Korea,23.385438130670885,82.32832416852733
Chhattisgarh,Mahasamund,21.400180968217917,81.6530606877968
Chhattisgarh,Mungeli,22.845279894698795,81.70996050313254
Chhattisgarh,Narayanpur,22.428030285714286,78.14894852380952
Chhattisgarh,Raigarh,21.981040470608107,83.2523215875
Chhattisgarh,Raipur,20.001076964828613,80.29687907973174
Chhattisgarh,Rajnandgaon,21.131677259536083,80.93427952963917
Chhattisgarh,Sukma,18.42306633333333,81.34416860555555
Chhattisgarh,Surajpur,23.06345315027027,82.91051479837839
Chhattisgarh,Surguja,344.0753947310811,11325.602466206758
Delhi,Central,28.456273706250002,77.204391628125
Delhi,East,28.635818969565218,77.29702519130434
Delhi,New Delhi,28.547893338095236,77.17467193809523
Delhi,North,28.744515825,77.14499100694444
Delhi,North East,28.680306460000004,77.280201885
Delhi,North West,28.709542864814814,77.0982792574074
Delhi,Shahdara,28.672673421428573,77.30240689285714
Delhi,South,28.525575370422537,77.21941708450704
Delhi,South East,28.55885559142857,77.25251955714286
Delhi,South West,27.775190429411765,78.3099384617647
Delhi,West,28.60816140978261,76.50760217717391
Goa,North Goa,49.28327996323308,39.97660079481203
Goa,South Goa,48.67152947257812,41.25557651084375
Gujarat,Ahmadabad,22.956431103667832,89.00385766510722
Gujarat,Amreli,21.87745677601156,71.33970077456647
Gujarat,Anand,22.44483146760691,72.83699471586148
Gujarat,Arvalli,23.49055629483568,73.31757389342722
Gujarat,Banas Kantha,24.260181904301074,194762.24294249917
Gujarat,Bharuch,21.766199104994723,72.98606513466676
Gujarat,Bhavnagar,21.544129019148937,71.8889934455927
Gujarat,Botad,22.107763066336634,71.68658630693069
Gujarat,Chhotaudepur,17.687306645754717,74.32919614575472
Gujarat,Dang,20.8021590875,73.72656959285713
Gujarat,Devbhumi Dwarka,22.12433319640288,69.18254479496403
Gujarat,Dohad,23.00972067920354,73.85422749336283
Gujarat,Gandhinagar,23.193687684574467,72.59101528351064
Gujarat,Gir Somnath,21.203998986606063,70.45904897084849
Gujarat,Jamnagar,22.310367516821984,70.22510475621466
Gujarat,Junagadh,21.375841203092783,70.37447489450172
Gujarat,Kachchh,23.286477216929136,69.0518828437008
Gujarat,Kheda,20.2767815262069,73.19620988275862
Gujarat,Mahesana,23.542496235211267,72.51883063330986
Gujarat,Mahisagar,23.106676523072288,73.56952663915663
Gujarat,Morbi,22.80405159766082,70.84446514619883
Gujarat,Narmada,20.960500534375,73.65453565
Gujarat,Navsari,20.82395135862069,73.07399804137931
Gujarat,Panch Mahals,22.69378738026906,73.65794224798206
Gujarat,Patan,18.78203748056225,73.14469824040161
Gujarat,Porbandar,21.640507073296703,69.77390001384616
Gujarat,Rajkot,22.07138236321839,71.03554005316091
Gujarat,Sabar Kantha,23.7496547820598,73.04004141760797
Gujarat,Surat,21.208670344657534,72.92980759343529
Gujarat,Surendranagar,22.752572489726028,71.61516533184931
Gujarat,Tapi,21.14111731081081,73.60097623945946
Gujarat,Vadodara,18.361681980095923,74.04036188920863
Gujarat,Valsad,20.4437357985348,73.03092957142857
Haryana,Ambala,30.233374327659572,76.90070875340426
Haryana,Bhiwani,28.753639067114094,75.930011
Haryana,Charki Dadri,28.57717415584416,76.17909025974026
Haryana,Faridabad,28.133761851515153,77.9573990590909
Haryana,Fatehabad,29.606628136440676,75.59219070762713
Haryana,Gurugram,28.194459835514017,76.2782959869159
Haryana,Hisar,29.21038458969697,75.65686544666667
Haryana,Jhajjar,28.650505399999997,76.69028974829932
Haryana,Jind,30.059041532903223,41.735876996129036
Haryana,Kaithal,29.777380614634147,76.42778266829268
Haryana,Karnal,38.85499822256097,71.401161675
Haryana,Kurukshetra,29.99163636875,76.80803400803572
Haryana,Mahendragarh,29.8351843575,76.16760985666666
Haryana,Nuh,28.10987498888889,76.90933435555556
Haryana,Palwal,28.2755285875,75.9494010953125
Haryana,Panchkula,30.508587652000003,76.7381399
Haryana,Panipat,29.096996777216496,43.69618520474227
Haryana,Rewari,28.271099270833332,76.62477079166666
Haryana,Rohtak,28.68791601101695,76.57615693813558
Haryana,Sirsa,29.61980556,74.91553518
Haryana,Sonipat,28.959146415083797,76.56370498100559
Haryana,Yamunanagar,30.69166231932773,76.28105497478991
Himachal Pradesh,Bilaspur,31.70238699724138,76.68622320827586
Himachal Pradesh,Chamba,32.502487033928574,76.24598094196428
Himachal Pradesh,Hamirpur,31.92133137048458,76.10591078061674
Himachal Pradesh,Kangra,32.182266359341895,76.20119280544141
Himachal Pradesh,Kinnaur,31.59583511388889,78.28414450105555
Himachal Pradesh,Kullu,31.78350437792208,77.33807533116882
Himachal Pradesh,Lahul And Spiti,32.480574967483236,92.50938124140646
Himachal Pradesh,Mandi,31.659067840909092,76.9398833013369
Himachal Pradesh,Shimla,32.123712251803546,77.17415405026047
Himachal Pradesh,Sirmaur,30.720330331325304,77.37280571445783
Himachal Pradesh,Solan,31.2054687245977,76.78238074706897
Himachal Pradesh,Una,31.579279040322582,76.23943689139784
Jammu And Kashmir,Anantnag,73.74132695089286,82.91634810714287
Jammu And Kashmir,Bandipora,35.183579932830185,73.92784745188679
Jammu And Kashmir,Baramulla,37.19036258842105,79.10305134323308
Jammu And Kashmir,Budgam,126.06626572820514,121.8290314551282
Jammu And Kashmir,Doda,6.3638551984375,13.7842604421875
Jammu And Kashmir,Ganderbal,44.61562785666667,75.45967961333334
Jammu And Kashmir,Jammu,32.68756070367495,74.75326409574782
